order_id,date,product,quantity,price,region
1001,2026-01-05,Widget A,2,12.99,Halifax
1002,2026-01-06,Widget B,1,1299.99,Toronto
1003,2026-01-07,Widget A,3,12.99,Halifax
1004,2026-01-08,Gadget C,5,8.5,Unknown
1005,2026-01-09,Widget B,2,1299.99,Toronto
1006,2026-01-10,Gadget C,10,8.5,Halifax
1007,2026-01-11,Widget A,1,12.99,Montreal
1008,2026-01-12,Thingamajig,4,45.0,Halifax
1009,2026-01-13,Widget B,1,1299.99,Vancouver
1010,2026-01-14,Gadget C,7,8.5,Halifax
1011,2026-01-15,Widget A,6,12.99,Unknown
1012,2026-01-16,Doohickey,2,99.95,Halifax
