order_id,date,product,quantity,price,region
1001,2026/01/05,  widget a ,2,$12.99,Halifax
1002,"Jan 6, 2026",Widget B,1,"$1,299.99",Toronto
1003,2026-01-07,WIDGET A,3,$12.99,Halifax
1004,01/08/2026,Gadget C,5,$8.50,
1001,2026/01/05,  widget a ,2,$12.99,Halifax
1005,2026-01-09,Widget B,2,"$1,299.99",toronto
,,,,
1006,"January 10, 2026", gadget c,10,$8.50,Halifax
1007,2026/01/11,Widget A,1,$12.99,Montreal
1008,2026-01-12,Thingamajig,4,$45.00,Halifax
1009,Jan 13 2026,widget b,1,"$1,299.99",Vancouver
1010,2026/01/14,  GADGET C,7,$8.50,Halifax
1008,2026-01-12,Thingamajig,4,$45.00,Halifax
1011,2026-01-15,Widget A,6,$12.99,
1012,"Jan 16, 2026",Doohickey,2,$99.95,Halifax
